Shipment_ID,Product_Category,Product_Type,Destination_Type,Transport_Mode,Recommended_Transport,Route_Risk,Refrigeration_Status,Packaging_Type,Coolant_Type,Packaging_Condition,Data_Logger_Status,Storage_Facility,Distance_KM,Duration_Hours,Chain_Handoff_Count,Ambient_Temperature_C,Humidity_Pct,Door_Open_Count,Vehicle_Age_Years,Battery_Level_Pct,Shock_Events,Avg_Temperature_C,Max_Temperature_C,Min_Temperature_C,Current_Temperature_C,Required_Temp_Min_C,Required_Temp_Max_C,Temperature_Deviation_C,Product_Temperature_Deviation_C,Temperature_Excursion_Minutes,Shipment_Start_Date,Shipment_Status,Risk_Probability,Risk_Score,AI_Prediction,Rescue_Priority_Score,Priority_Level,Estimated_Value_INR,Value_At_Risk_INR,Destination_Name
CC104316,Food,Seafood,Distribution Center,Reefer Container,Refrigerated Truck,Medium,Normal,Refrigerated Compartment,Gel Packs,Good,Active,Hospital,302.1,6.99,1,28.83,72.92,4,3.3,98.2,2,4.92,6.35,3.48,5.34,0,5,0.0,1.35,0.0,2026-06-10,SAFE,0.5175092466061892,51.8,AT_RISK,52.1,MEDIUM,100000.0,51751.0,MedSupply Distribution Hub
CC105922,Medical,Enzyme Preparations,Laboratory,Air Cargo,Refrigerated Truck,Medium,Normal,Validated Thermal Shipper,Mechanical Refrigeration,Minor Damage,Active,Hospital,975.9,4.23,0,31.77,49.21,4,3.8,75.4,3,-15.44,-13.94,-16.95,-15.97,2,8,1.06,18.95,10.5,2026-01-22,AT_RISK,0.3519292432584402,35.2,SAFE,42.1,MEDIUM,120000.0,42232.0,Thyrocare Laboratory
CC106027,Medical,Cell Therapy Samples,Specialized Lab,Refrigerated Truck,Reefer Container,Medium,Normal,Passive Cooler,Phase-Change Material,Good,Active,Fertility Clinic,184.5,8.15,3,9.48,63.97,5,6.5,62.2,0,6.77,8.55,4.98,6.41,-90,-60,0.55,68.55,11.0,2026-06-11,AT_RISK,0.9997404845518072,100.0,AT_RISK,82.5,CRITICAL,800000.0,799792.0,Metropolis Specialized Lab
CC101850,Medical,Antivenom,Hospital,Reefer Container,Refrigerated Truck,Medium,Normal,Insulated Box,Mechanical Refrigeration,Good,Active,Hospital,1637.6,30.14,1,25.27,90.11,6,2.2,91.1,2,8.15,9.86,6.44,6.61,2,8,0.0,1.86,0.0,2026-04-17,SAFE,0.2791164908811547,27.9,SAFE,40.7,MEDIUM,200000.0,55823.0,Hiranandani Hospital
CC100429,Medical,Monoclonal Antibodies,Hospital,Reefer Container,Refrigerated Truck,Medium,Normal,Validated Thermal Shipper,Mechanical Refrigeration,Good,Active,Hospital,222.3,10.22,3,26.4,48.1,2,4.3,94.6,1,-16.39,-15.13,-17.64,-15.27,2,8,0.0,19.64,0.0,2026-06-04,AT_RISK,0.3594558879014279,35.9,SAFE,39.5,LOW,100000.0,35946.0,Hiranandani Hospital
CC100101,Medical,Fertility Samples,Fertility Clinic,Air Cargo,Refrigerated Truck,Low,Normal,Refrigerated Compartment,Mechanical Refrigeration,Good,Active,Laboratory,367.9,6.39,0,35.54,78.32,1,5.7,67.1,1,3.73,5.01,2.44,2.46,2,8,0.01,0.0,32.8,2026-02-13,SAFE,0.3362265896692347,33.6,SAFE,26.7,LOW,300000.0,100868.0,Indira IVF Center
CC104707,Medical,Biologics,Hospital,Refrigerated Truck,Refrigerated Truck,Medium,Normal,Insulated Box,Mechanical Refrigeration,Good,Active,Laboratory,686.9,11.64,1,27.44,53.43,3,7.1,100.0,0,3.24,4.8,1.68,3.92,2,8,0.0,0.32,0.0,2026-05-17,SAFE,0.3041264849205616,30.4,SAFE,37.7,LOW,350000.0,106444.0,Tata Memorial Hospital
CC100465,Medical,Diagnostic Reagents,Laboratory,Reefer Container,Refrigerated Truck,Low,Normal,Dry Ice Container,Mechanical Refrigeration,Good,Active,Pharmacy,734.4,14.47,1,25.92,74.88,3,1.2,58.6,0,1.99,3.38,0.59,1.88,2,8,0.0,1.41,0.0,2026-06-20,SAFE,0.3128946661839505,31.3,SAFE,28.3,LOW,100000.0,31289.0,Apollo Diagnostics
CC104129,Medical,Frozen Plasma,Blood Bank,Reefer Container,Reefer Container,Medium,Intermittent,Insulated Box,Gel Packs,Good,Active,Distribution Center,344.4,10.51,1,24.88,85.17,3,5.4,70.7,2,8.42,10.38,6.45,7.83,-30,-18,2.38,28.38,22.5,2026-05-09,AT_RISK,0.9921602292449104,99.2,AT_RISK,94.0,CRITICAL,100000.0,99216.0,Lions Blood Bank
CC104828,Medical,Plasma,Blood Bank,Refrigerated Truck,Reefer Container,Low,Normal,Insulated Box,Gel Packs,Good,Active,Transplant Center,751.8,23.67,2,16.94,66.68,4,5.8,76.5,0,-16.77,-15.6,-17.94,-17.41,-25,-18,0.0,2.4,0.0,2026-02-26,AT_RISK,0.96829295781123,96.8,AT_RISK,69.1,HIGH,300000.0,290488.0,Red Cross Blood Bank
CC103504,Medical,Injectable Medicines,Pharmacy,Reefer Container,Refrigerated Truck,Medium,Normal,Insulated Box,Mechanical Refrigeration,Good,Active,Pharmacy,1232.1,14.89,3,17.51,78.45,1,3.0,71.0,0,-18.78,-17.58,-19.97,-19.69,2,8,0.0,21.97,0.0,2026-03-29,AT_RISK,0.3737213236708551,37.4,SAFE,38.9,LOW,100000.0,37372.0,Wellness Forever Pharmacy
CC106766,Medical,Insulin,Pharmacy,Reefer Container,Refrigerated Truck,Low,Normal,Refrigerated Compartment,Mechanical Refrigeration,Good,Active,Pharmacy,427.2,16.01,1,36.07,85.36,2,11.2,70.2,3,-15.37,-15.17,-15.57,-15.37,2,8,0.0,17.57,0.0,2026-06-29,AT_RISK,0.4381191483401327,43.8,SAFE,34.3,LOW,150000.0,65718.0,MedPlus Pharmacy
CC102778,Medical,Gene Therapy Samples,Specialized Lab,Refrigerated Truck,Reefer Container,Low,Intermittent,Dry Ice Container,Phase-Change Material,Good,Active,Distribution Center,954.4,16.31,0,34.58,77.91,10,4.2,56.9,0,13.26,14.02,12.51,13.36,-90,-60,4.02,74.02,20.8,2026-05-15,AT_RISK,0.9985674028450784,99.9,AT_RISK,94.9,CRITICAL,100000.0,99857.0,Apollo Specialized Lab
CC103984,Medical,Vaccines,Hospital,Refrigerated Truck,Refrigerated Truck,Medium,Normal,Dry Ice Container,Dry Ice,Good,Active,Distribution Center,603.0,12.71,4,34.91,76.32,6,3.6,94.1,1,4.23,5.66,2.79,3.34,2,8,0.0,0.0,0.0,2026-05-09,SAFE,0.3681772862726958,36.8,SAFE,46.1,MEDIUM,250000.0,92044.0,Lilavati Hospital
CC105239,Medical,Biologics,Hospital,Reefer Container,Refrigerated Truck,Medium,Normal,Passive Cooler,Mechanical Refrigeration,Good,Active,Blood Bank,230.7,8.93,0,19.11,87.58,2,6.1,96.4,0,2.73,3.96,1.49,3.78,2,8,0.0,0.51,0.0,2026-01-15,SAFE,0.2941985593126428,29.4,SAFE,35.6,LOW,350000.0,102969.0,Hiranandani Hospital
CC100576,Medical,Temperature-Sensitive Medicines,Pharmacy,Refrigerated Truck,Refrigerated Truck,High,Normal,Refrigerated Compartment,Gel Packs,Good,Active,Hospital,1367.0,18.85,1,28.54,59.4,4,4.7,68.7,5,6.78,8.17,5.39,6.7,2,8,0.17,0.17,27.6,2026-02-19,AT_RISK,0.4736802608908705,47.4,SAFE,59.4,MEDIUM,100000.0,47368.0,Wellness Forever Pharmacy
CC104466,Medical,Platelet Concentrates,Hospital,Reefer Container,Refrigerated Truck,Low,Normal,Validated Thermal Shipper,Dry Ice,Good,Active,Pharmacy,1163.1,13.57,1,45.0,70.51,2,3.8,58.0,2,8.63,9.97,7.28,8.43,20,24,0.0,12.72,0.0,2026-02-01,AT_RISK,0.9757643668904596,97.6,AT_RISK,66.6,HIGH,100000.0,97576.0,Kokilaben Dhirubhai Ambani Hospital
CC107141,Medical,IV Medications,Hospital,Reefer Container,Refrigerated Truck,High,Normal,Insulated Box,Mechanical Refrigeration,Good,Active,Hospital,646.6,15.77,0,25.65,69.29,2,4.4,50.6,4,-18.14,-17.2,-19.08,-18.28,2,8,0.0,21.08,0.0,2026-02-19,AT_RISK,0.4145503752021474,41.5,SAFE,52.9,MEDIUM,100000.0,41455.0,Hiranandani Hospital
CC106636,Medical,Insulin,Pharmacy,Reefer Container,Refrigerated Truck,Low,Normal,Validated Thermal Shipper,Gel Packs,Good,Active,Blood Bank,914.8,12.92,6,31.37,46.65,3,4.5,95.5,0,8.64,9.67,7.62,8.38,2,8,0.0,1.67,0.0,2026-03-25,AT_RISK,0.4078300203830723,40.8,SAFE,34.0,LOW,150000.0,61175.0,Wellness Forever Pharmacy
CC103014,Medical,Laboratory Samples,Laboratory,Air Cargo,Refrigerated Truck,Low,Normal,Validated Thermal Shipper,Gel Packs,Good,Active,Blood Bank,845.3,12.79,1,26.22,61.23,5,11.7,40.6,3,7.76,8.93,6.58,7.29,2,8,0.0,0.93,0.0,2026-06-17,SAFE,0.3606421203134651,36.1,SAFE,34.2,LOW,100000.0,36064.0,Metropolis Healthcare Lab
CC103246,Medical,Plasma,Blood Bank,Refrigerated Truck,Reefer Container,Medium,Normal,Insulated Box,Mechanical Refrigeration,Good,Active,Distribution Center,1438.5,21.89,1,20.68,82.11,4,3.8,72.4,2,4.95,6.34,3.57,5.37,-25,-18,0.0,24.34,0.0,2026-06-16,AT_RISK,0.9457565540571296,94.6,AT_RISK,77.8,HIGH,300000.0,283727.0,Red Cross Blood Bank
CC105502,Medical,Microbiology Specimens,Laboratory,Reefer Container,Refrigerated Truck,Low,Normal,Insulated Box,Gel Packs,Good,Active,Transplant Center,496.3,9.28,2,29.16,50.37,3,2.3,78.4,0,5.13,6.5,3.75,4.39,2,8,0.0,0.0,0.0,2026-03-20,SAFE,0.3520780641780636,35.2,SAFE,30.6,LOW,100000.0,35208.0,Apollo Diagnostics
CC107173,Medical,Antisera,Laboratory,Refrigerated Truck,Refrigerated Truck,Low,Normal,Dry Ice Container,Mechanical Refrigeration,Minor Damage,Active,Hospital,2243.4,29.04,3,33.15,93.16,6,2.8,62.0,2,5.95,7.32,4.57,6.31,2,8,2.32,0.0,10.3,2026-04-17,SAFE,0.3472854921259546,34.7,SAFE,34.8,LOW,100000.0,34729.0,Apollo Diagnostics
CC104509,Medical,Cell Therapy Samples,Specialized Lab,Refrigerated Truck,Reefer Container,Medium,Normal,Validated Thermal Shipper,Gel Packs,Good,Active,Distribution Center,1762.3,22.54,1,31.04,97.11,8,2.2,70.0,1,8.05,9.75,6.36,7.97,-90,-60,0.0,69.75,0.0,2026-06-25,AT_RISK,1.0,100.0,AT_RISK,87.0,CRITICAL,800000.0,800000.0,SRL Diagnostics
CC103532,Medical,Diagnostic Reagents,Laboratory,Air Cargo,Refrigerated Truck,Low,Normal,Insulated Box,Phase-Change Material,Good,Active,Laboratory,485.3,11.8,3,28.84,78.43,5,7.4,81.7,0,7.02,7.83,6.21,7.29,2,8,0.0,0.0,0.0,2026-03-28,SAFE,0.3334966318510285,33.3,SAFE,32.5,LOW,100000.0,33350.0,Thyrocare Laboratory
CC101858,Food,Dairy,Distribution Center,Reefer Container,Refrigerated Truck,Low,Intermittent,Insulated Box,Mechanical Refrigeration,Good,Battery Low,Laboratory,1994.2,46.65,3,31.04,68.59,3,5.8,53.8,3,8.39,8.84,7.94,8.41,0,8,0.0,0.84,0.0,2026-03-13,AT_RISK,0.6997521771475751,70.0,AT_RISK,66.5,HIGH,50000.0,34988.0,Apollo Distribution Center
CC103481,Medical,Injectable Medicines,Pharmacy,Refrigerated Truck,Refrigerated Truck,Low,Normal,Refrigerated Compartment,Phase-Change Material,Good,Active,Pharmacy,1363.3,18.43,5,20.32,62.19,4,4.7,84.4,3,-18.28,-16.79,-19.77,-17.06,2,8,0.0,21.77,0.0,2026-01-19,AT_RISK,0.3877602627128942,38.8,SAFE,34.3,LOW,100000.0,38776.0,Netmeds Pharmacy
CC100538,Medical,Insulin,Pharmacy,Refrigerated Truck,Refrigerated Truck,Medium,Normal,Insulated Box,Gel Packs,Good,Active,Transplant Center,989.1,13.46,3,33.3,67.93,6,2.3,71.5,1,9.4,10.93,7.87,9.83,2,8,0.93,2.93,26.5,2026-04-01,SAFE,0.3302573889228693,33.0,SAFE,43.8,MEDIUM,150000.0,49539.0,Netmeds Pharmacy
CC105890,Medical,Enzyme Preparations,Laboratory,Reefer Container,Refrigerated Truck,Medium,Intermittent,Refrigerated Compartment,Mechanical Refrigeration,Good,Active,Distribution Center,523.6,10.23,2,28.18,48.42,1,2.9,69.7,1,7.85,8.05,7.65,7.99,2,8,0.05,0.05,22.3,2026-03-13,AT_RISK,0.5442402894297284,54.4,AT_RISK,64.1,MEDIUM,120000.0,65309.0,Metropolis Healthcare Lab
CC104979,Medical,Laboratory Samples,Laboratory,Refrigerated Truck,Refrigerated Truck,Low,Normal,Dry Ice Container,Mechanical Refrigeration,Good,Active,Pharmacy,417.1,18.47,2,29.65,74.6,7,2.3,85.3,2,2.02,3.2,0.85,2.15,2,8,1.15,1.15,54.1,2026-03-25,SAFE,0.4175297607131863,41.8,SAFE,40.6,MEDIUM,100000.0,41753.0,Dr Lal PathLabs
CC107147,Medical,Organ Transport Samples,Transplant Center,Reefer Container,Refrigerated Truck,Low,Normal,Refrigerated Compartment,Mechanical Refrigeration,Good,Active,Distribution Center,1240.8,17.99,1,16.39,65.39,2,2.1,65.8,0,-17.02,-16.44,-17.59,-17.46,2,8,0.0,19.59,0.0,2026-01-09,AT_RISK,0.3467535097014882,34.7,SAFE,28.8,LOW,100000.0,34675.0,Apollo Transplant Center
CC103381,Medical,Laboratory Samples,Laboratory,Air Cargo,Refrigerated Truck,Low,Normal,Refrigerated Compartment,Mechanical Refrigeration,Good,Active,Laboratory,2015.8,36.3,3,28.86,63.33,3,2.2,88.5,1,-16.38,-15.07,-17.69,-17.06,2,8,0.0,19.69,0.0,2026-05-31,AT_RISK,0.389764811536355,39.0,SAFE,32.9,LOW,100000.0,38976.0,Thyrocare Laboratory
CC102266,Medical,Frozen Plasma,Blood Bank,Refrigerated Truck,Reefer Container,Low,Normal,Dry Ice Container,Mechanical Refrigeration,Good,Active,Distribution Center,1183.4,17.87,1,24.79,39.84,2,7.7,94.5,2,-18.33,-16.98,-19.68,-17.63,-30,-18,0.0,1.02,0.0,2026-01-05,AT_RISK,0.9445099146601365,94.5,AT_RISK,64.7,MEDIUM,100000.0,94451.0,HDFC Blood Bank
CC101795,Medical,Organ Transport Samples,Transplant Center,Refrigerated Truck,Refrigerated Truck,Medium,Normal,Insulated Box,Gel Packs,Good,Active,Laboratory,1560.8,23.07,0,23.24,71.36,4,1.6,68.1,1,8.99,10.86,7.12,8.72,2,8,0.86,2.86,21.8,2026-04-06,AT_RISK,0.3459155389507583,34.6,SAFE,41.8,MEDIUM,100000.0,34592.0,Tata Transplant Center
CC101726,Medical,Plasma,Blood Bank,Air Cargo,Reefer Container,High,Normal,Validated Thermal Shipper,Phase-Change Material,Good,Active,Laboratory,508.5,7.04,0,27.6,86.05,5,4.3,100.0,2,6.97,8.13,5.8,7.89,-25,-18,0.0,26.13,0.0,2026-05-02,AT_RISK,0.952011906199192,95.2,AT_RISK,89.6,CRITICAL,300000.0,285604.0,Apollo Blood Bank
CC103135,Medical,Monoclonal Antibodies,Hospital,Refrigerated Truck,Refrigerated Truck,Low,Intermittent,Refrigerated Compartment,Phase-Change Material,Good,Active,Hospital,1366.8,24.43,2,30.74,60.01,7,7.8,57.1,1,-15.65,-14.87,-16.43,-15.71,2,8,0.13,18.43,22.5,2026-04-03,AT_RISK,0.6340788112950237,63.4,AT_RISK,68.5,HIGH,100000.0,63408.0,Lilavati Hospital
CC103082,Medical,IV Medications,Hospital,Refrigerated Truck,Refrigerated Truck,High,Normal,Passive Cooler,Phase-Change Material,Good,Active,Laboratory,907.9,17.79,1,24.97,71.17,6,10.6,85.3,3,4.15,5.46,2.84,4.15,2,8,0.46,0.0,22.7,2026-01-23,SAFE,0.3754271512067754,37.5,SAFE,56.5,MEDIUM,100000.0,37543.0,Kokilaben Dhirubhai Ambani Hospital
CC100132,Medical,Platelet Concentrates,Hospital,Air Cargo,Refrigerated Truck,Medium,Normal,Refrigerated Compartment,Mechanical Refrigeration,Minor Damage,Active,Fertility Clinic,1126.5,15.47,0,35.27,56.12,5,1.8,86.3,1,4.18,5.1,3.26,4.21,20,24,0.1,16.74,13.5,2026-01-01,AT_RISK,0.9744969987891794,97.4,AT_RISK,80.9,CRITICAL,100000.0,97450.0,Lilavati Hospital
CC101188,Medical,Antivenom,Hospital,Refrigerated Truck,Refrigerated Truck,High,Intermittent,Validated Thermal Shipper,Gel Packs,Good,Active,Distribution Center,669.3,11.79,0,45.0,84.05,6,5.9,88.8,1,14.56,16.33,12.78,15.47,2,8,6.33,8.33,12.2,2026-06-16,AT_RISK,0.7542033391484341,75.4,AT_RISK,94.2,CRITICAL,200000.0,150841.0,Hiranandani Hospital
CC106865,Medical,Injectable Medicines,Pharmacy,Reefer Container,Refrigerated Truck,Low,Normal,Validated Thermal Shipper,Mechanical Refrigeration,Good,Active,Distribution Center,502.7,6.86,2,30.93,77.96,1,1.9,74.9,1,7.29,8.54,6.04,5.86,2,8,0.0,0.54,0.0,2026-05-12,SAFE,0.3207936932548951,32.1,SAFE,25.8,LOW,100000.0,32079.0,Netmeds Pharmacy
CC104058,Medical,Cell Therapy Samples,Specialized Lab,Reefer Container,Reefer Container,Low,Intermittent,Refrigerated Compartment,Gel Packs,Good,Active,Pharmacy,1512.4,27.05,0,26.1,71.29,3,6.2,54.9,2,8.11,9.22,6.99,8.11,-90,-60,1.22,69.22,16.2,2026-05-13,AT_RISK,0.9986711069603434,99.9,AT_RISK,84.4,CRITICAL,800000.0,798937.0,Metropolis Specialized Lab
CC100554,Medical,Temperature-Sensitive Medicines,Pharmacy,Air Cargo,Refrigerated Truck,Medium,Normal,Dry Ice Container,Phase-Change Material,Good,Active,Blood Bank,1224.8,23.02,2,30.13,77.83,4,1.7,46.7,0,5.41,5.96,4.86,5.84,2,8,0.0,0.0,0.0,2026-02-20,SAFE,0.3596209785908548,36.0,SAFE,42.6,MEDIUM,100000.0,35962.0,Apollo Pharmacy
CC105388,Medical,Insulin,Pharmacy,Air Cargo,Refrigerated Truck,Low,Normal,Insulated Box,Mechanical Refrigeration,Good,Active,Transplant Center,1542.2,26.23,2,21.91,67.04,0,2.5,53.6,0,2.9,4.65,1.15,1.62,2,8,0.0,0.85,0.0,2026-01-24,SAFE,0.2816123930256287,28.2,SAFE,21.9,LOW,150000.0,42242.0,MedPlus Pharmacy
CC102821,Medical,Monoclonal Antibodies,Hospital,Refrigerated Truck,Refrigerated Truck,Low,Intermittent,Dry Ice Container,Gel Packs,Good,Active,Pharmacy,1079.2,13.53,1,31.68,69.97,2,4.8,62.5,1,6.1,7.58,4.61,5.64,2,8,2.58,0.0,32.4,2026-06-18,AT_RISK,0.5424002253554904,54.2,AT_RISK,55.5,MEDIUM,100000.0,54240.0,Kokilaben Dhirubhai Ambani Hospital
CC102885,Medical,Biologics,Hospital,Refrigerated Truck,Refrigerated Truck,Medium,Normal,Insulated Box,Mechanical Refrigeration,Good,Active,Hospital,611.6,10.01,1,26.83,58.94,10,5.9,85.5,1,8.2,9.05,7.36,8.66,2,8,0.0,1.05,0.0,2026-04-22,SAFE,0.3852749981052947,38.5,SAFE,53.1,MEDIUM,350000.0,134846.0,Kokilaben Dhirubhai Ambani Hospital
CC100736,Medical,Gene Therapy Samples,Specialized Lab,Air Cargo,Reefer Container,Low,Normal,Insulated Box,Phase-Change Material,Good,Active,Laboratory,585.0,14.25,1,27.81,67.86,5,3.0,84.8,1,7.45,9.25,5.65,5.23,-90,-60,0.0,69.25,0.0,2026-01-18,AT_RISK,0.9997417147157602,100.0,AT_RISK,72.5,HIGH,100000.0,99974.0,Apollo Specialized Lab
CC102833,Medical,IV Medications,Hospital,Refrigerated Truck,Refrigerated Truck,Low,Normal,Validated Thermal Shipper,Dry Ice,Good,Active,Hospital,301.3,14.98,1,27.6,56.7,4,2.0,43.2,2,-15.32,-14.02,-16.62,-16.0,2,8,0.98,18.62,29.0,2026-01-23,AT_RISK,0.3812587227860536,38.1,SAFE,33.9,LOW,100000.0,38126.0,Tata Memorial Hospital
CC103820,Medical,Insulin,Pharmacy,Refrigerated Truck,Refrigerated Truck,Low,Fault,Insulated Box,Mechanical Refrigeration,Minor Damage,Active,Pharmacy,201.4,2.66,2,23.46,64.15,7,7.2,70.8,1,-13.82,-11.88,-15.76,-13.6,2,8,3.12,17.76,12.0,2026-06-24,AT_RISK,0.9105863008494296,91.1,AT_RISK,70.2,HIGH,150000.0,136588.0,Apollo Pharmacy
CC107144,Medical,Vaccines,Hospital,Refrigerated Truck,Refrigerated Truck,High,Normal,Refrigerated Compartment,Phase-Change Material,Good,Active,Laboratory,728.2,10.3,3,37.05,86.3,3,3.1,56.7,3,-15.56,-14.23,-16.88,-14.73,2,8,0.77,18.88,20.4,2026-03-01,AT_RISK,0.4968308138049752,49.7,SAFE,59.3,MEDIUM,250000.0,124208.0,Hiranandani Hospital
CC100601,Medical,Antisera,Laboratory,Refrigerated Truck,Refrigerated Truck,Low,Normal,Validated Thermal Shipper,Dry Ice,Good,Active,Distribution Center,927.9,22.19,2,28.63,50.32,7,3.9,89.1,2,-16.05,-15.3,-16.8,-15.42,2,8,0.0,18.8,0.0,2026-03-08,AT_RISK,0.4521085099304451,45.2,SAFE,42.6,MEDIUM,100000.0,45211.0,Dr Lal PathLabs
CC102029,Medical,Monoclonal Antibodies,Hospital,Refrigerated Truck,Refrigerated Truck,Medium,Intermittent,Insulated Box,Mechanical Refrigeration,Good,Active,Distribution Center,2500.0,36.71,4,19.7,78.7,5,5.5,85.3,0,5.8,6.22,5.38,5.83,2,8,1.22,0.0,53.8,2026-06-09,SAFE,0.4127843736800319,41.3,SAFE,62.3,MEDIUM,100000.0,41278.0,Lilavati Hospital
CC104292,Medical,Diagnostic Reagents,Laboratory,Reefer Container,Refrigerated Truck,Medium,Normal,Passive Cooler,Mechanical Refrigeration,Good,Active,Specialized Lab,1318.3,17.61,0,17.58,82.82,5,1.8,44.9,0,6.36,8.39,4.32,6.71,2,8,0.39,0.39,15.5,2026-06-12,SAFE,0.3242524528849598,32.4,SAFE,41.9,MEDIUM,100000.0,32425.0,Dr Lal PathLabs
CC102138,Medical,Monoclonal Antibodies,Hospital,Reefer Container,Refrigerated Truck,Medium,Intermittent,Validated Thermal Shipper,Mechanical Refrigeration,Good,Active,Hospital,324.4,11.05,4,34.78,82.82,7,3.6,46.8,0,-13.79,-12.24,-15.35,-13.14,2,8,2.76,17.35,27.3,2026-04-09,AT_RISK,0.6897772917423669,69.0,AT_RISK,81.9,CRITICAL,100000.0,68978.0,Kokilaben Dhirubhai Ambani Hospital
